¿En qué rango de edad te encuentras?,Ciudad de residencia,¿Cuál es tu motivación y/ó expectativa para postular al programa Track de mujeres?,Grado máximo de estudios alcanzados,¿Con qué definición te identificas actualmente? ,"Actualmente, ¿Cuáles son las 3 habilidades,  fortalezas o conocimientos que destacarías de ti?",¿Qué habilidades o conocimientos podrías o te gustaría adquirir o mejorar a través del programa?,"Actualmente, ¿Cuál es su fuente de ingresos?",¿Tienes acceso a una computadora e internet?,¿Tienes disponibilidad de asistir presencialmente 2 días seguidos a un taller (entre junio/julio y agosto)?,¿Qué días tienes mayor disponibilidad de tiempo para capacitarte o asistencia a eventos?,¿Cuál seria el horario de preferencia? ,¿Hace cuánto tiempo iniciaste en el mundo del emprendimiento?,Nombre del emprendimiento,Breve descripción en un párrafo del emprendimiento.,Rubro del emprendimiento,Antigüedad de tu emprendimiento en el que trabajas actualmente,¿Cuántas personas conforman tu emprendimiento actualmente? ,¿Cómo te enteraste del programa Track Mujeres,¿Dónde sueles buscar y compartir información? ¿Tienes alguna red social o plataforma favorita para mantenerte al día?,Categorizacion_Motivacion_Expectativa_Postulacion,Categorizacion_Habilidad_Adquisicion,Categoria_Habilidades_Destacadas
31 a 35 años,Santa Cruz,Aprender habilidades y herramientas que me permitan mejorar y renovar cada día. ,Licenciatura,Trabajo y emprendo como actividad paralela,"Proactividad
Responsabilidad
Perseverancia 
","Finanzas
Marketing
Estrategias de comercialización  ",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Resiliencia y Determinación
26 a 30 años,El Alto,Conocimiento,Licenciatura,Trabajo y emprendo como actividad paralela,"Agilidad, dedicación y experiencia",Entrar otros mercados,Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
26 a 30 años,La Paz,Mi motivación es consolidar a mi emprendimiento y formalizarlo,Licenciatura,Soy emprendedora,"Creativa, curiosa e ingeniosa","Marketing digital, oratoria y manejo de finanzas y planificación ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace más de un año,Biopacha bioinsumos organicos y bio regeneración ,Somos un emprendimiento que nos dedicamos al reciclaje de residuos orgánicos y vegetales de los mercados para la elaboración de biofertilizantes que ayudan a una producción agricola más amigables con el medio ambiente y la bioregeneracion de suelos ,Agricultura y ganadería,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Creatividad y Solución de Problemas
31 a 35 años,El Alto,Aprender mas para hacer crecer mi enprendimiento,Técnico medio o superior,En búsqueda de empleo,"Creativa,luchadura y emprendedora",Ventas por redea socialea,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Mantas de guanaco y alpaca,Realizo mantas todo hecho a crochet,Artesanía y manualidades,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Emprendimiento e Innovación
36 a 40 años,Cochabamba,"Aprender, poner en práctica todas las habilidades adquiridas en los talleres impartidos desde su plataforma o talleres presenciales. ",Licenciatura,Soy emprendedora,"La capacidad de resolver problemas, creatividad y perseverancia. ","Aprender sobre finanzas, redes digitales, gestionar personal y proyectos, potenciar mi negocio, conocer personas afines. ",De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Mañana,Hace menos de 1 año,Reborn,"Mi emprendimiento se enfoca en diseño de ropa y accesorios upcycling que prioriza la reutilización de textiles, elementos decorativos que se pueden reusar con el fin de dar vida a una nueva prenda o accesorios con personalidad y elegancia. ","Textil, moda, diseño y/ó venta de ropa",Menos de 1 año,Sólo yo,Facebook ,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
36 a 40 años,Cochabamba,Seguir creciendo con mi emprendimiento ,Diplomado,Trabajo como profesional independiente,"Líder, experta en corrección, capaz de solucionar problemas ","Autosostenible, capaz de manejar mi economía ordenadamente, seguridad",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de un año,Editorial Educación en Resistencia ,"Editorial artesanal que brinda el servicio de corrección de estilo, diseño y cuidado editorial, impresión y difusión de obras literarias de autoras y autores nacionales y extranjeros.",Educación y formación,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,Santa Cruz,Aprender más para fortalecer mi emprendimiento ,Diplomado,Trabajo y emprendo como actividad paralela,"Empatia, perseverancia y negociación ",Manejos de herramientas digitales y de exportación ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de 5 años,Velas San Antonio ,Realizamos todo tipo de velas de parafina,Artesanía y manualidades,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
31 a 35 años,El Alto,Mi mayor motivación es mejorar mi talento emprendedor y así poder formar redes con las demás emprendedoras y empresarias para mejorar nuestras empresas con más apoyo,Técnico medio o superior,Trabajo como profesional independiente,"Resilencia , motivadora y lider",Fortalecer mis conocimientos para mejorar mi emprendimiento y el trabajo en equipo para formar redes de emprendedoras donde nos podamos ayudarnos en las distintas áreas ya que todas somos líderes en lo que realizamos y podes necesitar unas de otras,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace menos de 1 año,Consultora empresarial Emprende Innova,Emprendímiento a realizar servicios contables para en forma de consultoria de forma personalizada para las distintas empresas y Emprendimientos,Servicios profesionales y/ó consultorías,Menos de 1 año,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Tik tok,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Liderazgo y Empoderamiento
36 a 40 años,Santa Cruz,Aprender para hacer crecer mi equipo de trabajo,Bachiller,Soy emprendedora,"Trabajo en equipo, formar personas, atención al cliente",Habilidades de redes y tecnologicas,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Noche,Hace más de un año,GIMAC,Inmobiliaria encargada de comercializar inmuebles y formar asesores inmobiliarios,Inmobiliaria,De 1 a 5 años,Más de 5 (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Trabajo en Equipo y Colaboración
18 a 25 años,Santa Cruz,"Quiero tener un emprendedimiento propio, no tengo conocimiento en el área financiera así que no me he animado a hacer algo, espero poder aprender cosa útiles ",Técnico medio o superior,Aún me encuentro estudiando,"Liderazgo, serenidad y conocimiento básico sobre diseño","En el área financia me gustaría aprender a armar un plan de negocios con presupuestos e índices de éxito, aprender a hacer un estudio de mercado, como funciona impuestos, aprender a hacer proyecciones y balances y más ",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
18 a 25 años,Cochabamba,Porque soy una mujer emprendedora que quiere fortalecer su emprendimiento para poder crecer y lograr expandirlo ofreciendo un producto de calidad y que los clientes consideren a mi empresa como referencia ,Licenciatura,Soy emprendedora,"Soy una mujer que se caracteriza por ser activa, capaz de generar confianza a través de mis características de liderazgo y forma de trabajo ","Manejo de redes sociales, identificación de mi público meta, capacidad de producción masiva, identificar un producto estrella para el público ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace más de 5 años,JaDaSha ,"Es un repostería fina y artesanal que busca brindarles a los clientes una experiencia agradable al momento de contratar nuestros servicios, brindando una atención de calidad con temáticas personalizadas ",Gastronomía y/ó alimentos,6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Liderazgo y Empoderamiento
31 a 35 años,El Alto,Adquirir conocimiento en los paquetes de aprendizaje que darán los talleres,Técnico medio o superior,En búsqueda de empleo,"Perseverancia, persistencia, paciencia ",Todo lo que sea posible ,Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Otro,Resiliencia y Determinación
31 a 35 años,Santa Cruz,"Es poder formarme con nuevas herramientas para poder empoderar a otras, todo debe ser para expansión y quiero ser un canal conector para otras ",Maestria,Soy emprendedora,"Resilencia: al 100% luego de haber pasado tantos retos 
Adaptabilidad: porque puedo sobrellevar distintas situaciones y reaccionar ante contingencias 

Empatía: detrás de las empresas y marcas hay personas todos con distintas historias 
La empatía y el buen carácter hacen de mi una persona que intenta llegar al otro :)","Considero que lo digital no es algo que tenga como fuerte y quiero mejorarlo, mostrar a mi equipo de trabajo a todo lo que se hace los servicios , ser más creativa pero por sobretodo generar una red de personas que se apoyan en sus emprendimientos al ser una de las seleccionadas:)",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Mariana torricos PR & Event manager,Mariana Torricos es un conector de marcas y proveedores que mediante las relaciones públicas y los eventos corporativos realiza comunicación efectiva y eficiente para llegar a tus objetivos en Bolivia ,Servicios profesionales y/ó consultorías,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Linkedin,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Marketing digital,Resiliencia y Determinación
31 a 35 años,Santa Cruz,"Me gustaría optener mayores conocimientos para mejorar día con día mi emprendimiento, aprender es una parte fundamental para avanzar",Licenciatura,Soy emprendedora,"Creativa, visionaria, tenaz",Me gustaría aprender sobre finanzas y marketing ,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Kéfir Buba,"Es un producto fermentado a base de leche y nódulos de kéfir, contiene poderosos probióticos qué ayudan a mejorar la salud gastrointestinal ",Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Pista8,Instagram,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Emprendimiento e Innovación
26 a 30 años,La Paz,Es poder fortalecer habilidades y adquirir conocimientoa clave para impulsar mi emprendimiento ,Licenciatura,Trabajo y emprendo como actividad paralela,"Mi capacidad de organizacion, manejo de datos y trabajo en equipo","Manejo de redes, finanzas y networking ",Trabajo asalariado o eventual,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
41 a 45 años,Santa Cruz,Aprender de expertos para poder potenciar mi emprendimiento ,Técnico medio o superior,Trabajo y emprendo como actividad paralela,"Perseverancia, creatividad, conocimiento del mercado ",Especialmente de marketing ,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Mañana,Hace menos de 1 año,UltraLimpio ,"Dedicado a la elaboración de productos de limpieza. Jabón para ropa, para piso, para vajilla ",Industrial,Menos de 1 año,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Emprendimiento e Innovación
36 a 40 años,La Paz,Adquirir nuevas habilidades. ,Diplomado,En búsqueda de empleo,"Puntualidad, Experta en Ortografía y Gramática y Excelente Atención al Cliente. ","Manejo de programas, obtener mayores ganancias y proyectarme a nivel más grande.",A través de mi empresa o emprendimiento,Si,No,De lunes a viernes,Mañana,Hace más de 5 años,Prueva i Herror y Mabrook,"Correcciones de tesis (ortografía, gramática, APA).
Elaboración de Regalos Personalizados.",Servicios profesionales y/ó consultorías,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Herramientas digitales,Responsabilidad y Compromiso
26 a 30 años,Cochabamba,"Soy una Mujer emprendedora que quiere mejorar, evolucionar y seguir adelante con lo que amor hacer. ",Diplomado,Soy emprendedora,"Una mujer fuerte, líder y emprendedora. ","Me gustaría perfeccionar el diálogo entre el cliente y mi emprendimiento, lograr un mejor manejo de redes para llegar a mi cliente potencial",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de 5 años,JaDaSha repostería fina y artesanal,"JaDaSha quiere acomaprte en cada momento importante de la vida de nuestros clientes, brindando una atención y productos de primera calidad con el toque personalizado. ",Gastronomía y/ó alimentos,6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Emprendimiento e Innovación
41 a 45 años,Cochabamba,Adquirir conocimientos y aplicarlo,Diplomado,Trabajo como profesional independiente,"Me gusta aprender y enseñar, y soy proactiva y estratega. ",Finanzas y Ventas,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Noche,Hace menos de 1 año,Bienes Raíces ,"Inmobiliaria, asesoría y comercialización de bienes raices y paquetes turísticos. ",Servicios profesionales y/ó consultorías,Menos de 1 año,Sólo yo,LinkedIn ,Linkedin,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
31 a 35 años,El Alto,Aprender como hacer crecer mi negocio,Bachiller,Soy emprendedora,Superacion  me gusta cocinar  y sobre todo tengo muchas ganas de  salir adelante,Mejorar las ventas,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Ventas de comida,Venta de caldos,Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Liderazgo y Empoderamiento
41 a 45 años,Cochabamba,Conocer nuevos modelos de negocios y capacitarme,Licenciatura,Soy emprendedora,"Organización, ventas,asesoria","Manejo de negocios, marketing,finanzas ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 10 años,Xclusivo Moda Creativa ,"Empresa de confecciónes,dedicada a la fabricación de prendas de vestir para colegios, instituciones y equipos ","Textil, moda, diseño y/ó venta de ropa",Más de 10 años,Más de 5 (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Otras
26 a 30 años,Santa Cruz,Que mi emprendimiento sea conocido ,Técnico medio o superior,Aún me encuentro estudiando,"Creatividad, curiosidad, amor por el conocimiento","Técnico casa de ventas, etc.",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,Jabón artesanal tropical,Jabón artesanal ,"Belleza, cuidado personal",Menos de 1 año,Sólo yo,Redes sociales Pista8,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Desarrollo Personal y Profesional
31 a 35 años,Santa Cruz,Aprender conocimiento práctico para ampliar  mis ideas de negocio para te tener un buen rendimiento ,Licenciatura,En búsqueda de empleo,"Escuchar, liderazgo, trabajo en equipo.",Nuevas técnicas de conocimiento como marketing y costos ,De ambos (trabajo y emprendimiento),Si,Si,Indiferente,Noche,Hace menos de 1 año,Solo neon,"Brindamos servicios de diseño de letreros lumunisos ya sea en led, lona, y estructuras de fieros ",Manufactura,Menos de 1 año,3 y 5 personas (incluida mi persona),Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Liderazgo y Empoderamiento
36 a 40 años,La Paz,Desarrollar y apoyar el crecimiento en los emprendimientos de mujeres.,Licenciatura,Soy emprendedora,"Disciplina, puntualidad y empatía ",Sobre la resiliencia.,A través de mi empresa o emprendimiento,Si,Si,Indiferente,Tarde,Hace más de un año,MIA,"Moda inteligente y activa, ropa para mujer ","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,WhatsApp,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Responsabilidad y Compromiso
41 a 45 años,El Alto,El mejorar mi negocio ,Técnico medio o superior,Trabajo como profesional independiente,"Luchadora, trabajadora ",Mejorar mi negocio ,De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace más de 5 años,Costura ,Elaboración de diferentes prendas ,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Finanzas_financiamiento,Resiliencia y Determinación
31 a 35 años,Santa Cruz,Mejorar mi emprendimiento y mis ingresos ,Post grado,Trabajo y emprendo como actividad paralela,"Detallista, empatica,  perseverante ","Marketing digital, posicionamiento de marca",De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Tarde,Hace más de un año,"La palta feluz, atípico",Regalos y un mini bar,Gastronomía y/ó alimentos,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Resiliencia y Determinación
31 a 35 años,Cochabamba,"Aprender sobre nuevas estrategias y planificación de tiempo, controlar y organizar mejor mis horarios.",Diplomado,Soy emprendedora,"Aprendo rápido 
Persistente 
Detallista","Control de tiempos 
Planificación de metas
Costos",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace menos de 1 año,The cookie tray,Galletas estilo americanas,Gastronomía y/ó alimentos,Menos de 1 año,Sólo yo,Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Finanzas_financiamiento,Resiliencia y Determinación
26 a 30 años,El Alto,Crecer con mi emprendimiento y adquirir más conocimientos.,Técnico medio o superior,Soy emprendedora,"Responsabilidad, paciencia y muchas ganas de aprender ",Habilidades para poder promocionar y vender mis productos ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de 5 años,Costura Express,"Se realiza Diseñó, patronaje y confección para eventos casuales ","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Desarrollo Personal y Profesional
31 a 35 años,La Paz,Potenciar mi negocio,Licenciatura,Trabajo como profesional independiente,Manejo redes sociales,"Mejor administracion en mi negocio, fortalecerlo",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Tarde,Hace más de un año,Raffan travels,Agencia de viajes dedicada a la emisión de pasajes aéreos nacionales e internacionales ,Turismo,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
31 a 35 años,El Alto,"Tengo un emprendimiento pequeño que quiero potenciar en su sector y lograr hacerlo crecer, para ello necesito herramientas y conocimientos que desconozco. Con este programa ayudaría a lograr con esa meta que tengo de este año. ",Licenciatura,Soy emprendedora,"Conocimientos en el área de la cosmética, la habilidad creativa y la empatia. ","Conocimientos que quisiera adquirir sería  la resolución de conflictos,  la toma mejor de desiciones y la organización financiera. ",A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de un año,MAKTUB STORE,"El emprendimiento consiste en la venta de bisuteria (diseños propios), joyería, skincare entre otros, juntamente con accesorios para el sector femenino que quiera potenciar su belleza.","Belleza, cuidado personal",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Instagram,Crecer personalmente y actualizar sus conocimientos.,Toma de decisiones y negociación,Desarrollo Personal y Profesional
31 a 35 años,La Paz,"Aprender más herramientas para mejorar mi emprendimiento (aumentar ventas, administración de mi negocio,  manejo de los clientes. Hacer crecer mi emprendimiento ",Licenciatura,Trabajo y emprendo como actividad paralela,"Responsabilidad, perseverancia, paciencia ","Aumentar clientes, técnicas de venta",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace más de 10 años,Ventas de productos y servicios ,"Vender Productos de nutrición, cosméticos y  servicios para la población de diversas edades",Salud,De 1 a 5 años,Sólo yo,Redes sociales Pista8,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Resiliencia y Determinación
31 a 35 años,Cochabamba,Seguir creciendo como emprendedora ,Licenciatura,Trabajo y emprendo como actividad paralela,"Perseverancia, visionaria con conocimientos contables, capaz de volver un emprendimiento en Empresa","Ventas, marketing por redes Sociales y liderazgo ",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Noche,Hace más de un año,Orellana Importaciones y Representaciones,Venta al por mayor y menor de productos de temporada ,Actividad comercial,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Emprendimiento e Innovación
31 a 35 años,El Alto,Para superarme y aprender más.,Técnico medio o superior,En búsqueda de empleo,"Buena atención al cliente, puntualidad y honestidad, transcribir documentos.","Me gustaría adquirir conocimientos en Marketing, publicidad.",Aún no percibo ingresos,,,,,,,,,,,,,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Responsabilidad y Compromiso
31 a 35 años,El Alto,Tener mi fuente de ingresos ,Técnico medio o superior,Soy emprendedora,"Manejo diferentes tipos de maquinas de costura, me gusta diseñar nuevas cosas, aprendo rapido",Liderazgo y diseño gráfico ,A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Mañana,Hace más de un año,Diseño y cofeccion Josnar,"Se realizan todo tipo de prendas de vestir , para colegio, waripoleras, uniforme escolares, etc...q","Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,WhatsApp,Solventar los gastos del hogar.,Desarrollo personal y habilidades blandas,Emprendimiento e Innovación
31 a 35 años,Cochabamba,Aprender de finanzas ,Licenciatura,Trabajo y emprendo como actividad paralela,"Responsable, aprendo rápido ",Aprender sobre finanzas ,De ambos (trabajo y emprendimiento),Si,Si,De lunes a viernes,Mañana,Hace más de un año,Creative Intercoffiure ,"Salón de belleza, el lugar donde cuidas tus ","Belleza, cuidado personal",De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Finanzas_financiamiento,Liderazgo y Empoderamiento
Más de 50 años,Cochabamba,"Aprender, para hacer conocer mi emprendimiento ",Bachiller,Trabajo y emprendo como actividad paralela,"Emprendedora, persistente y querer aprender más para sacar adelante mi emprendimiento ",Manejo de redes sociales ,A través de mi empresa o emprendimiento,No,Si,De lunes a viernes,Tarde,Hace más de 10 años,Arte Manual ,"Hacemos realidad tus sueños, artesanalmente ",Artesanía y manualidades,Más de 10 años,Sólo yo,Redes sociales Banco Sol,Instagram,Mejorar el trabajo en equipo y aumentar las ventas de su emprendimiento.,Marketing digital,Emprendimiento e Innovación
36 a 40 años,Cochabamba,Mi motivación mas grande es hacer creceri emprendimiento,Licenciatura,Soy emprendedora,"Que soy emprendedora
Consecuente","La habilidad de que conosca mi emprendimiento y miarca
Mejor manejo de las redes",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Tarde,Hace más de un año,Creaciones de la negrita,Hechas con amor,Artesanía y manualidades,De 1 a 5 años,Sólo yo,Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Marketing digital,Emprendimiento e Innovación
Más de 50 años,La Paz,Aprender mas,Diplomado,Trabajo como profesional independiente,"Compromiso, dedicación y lealtad ","Liderazgo,  seguridad ",A través de mi empresa o emprendimiento,Si,Si,Indiferente,Mañana,Hace más de un año,Watermelon SRL,"Trabajo con frutas, verduras y hortalizas y obtengo sus derivados ",Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Desarrollo personal y habilidades blandas,Resiliencia y Determinación
36 a 40 años,Santa Cruz,Adquirir conocimientos para ppnerlos en practica en mi emprendimiento,Técnico medio o superior,Trabajo y emprendo como actividad paralela,Dedicacion interds y proacgivo,Adquirir mas conocimientos,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,D'Ross almintos y bebidas,"Serivicio de alimentos y bebidas
Atencion de todo acontecimiento
Comida tipica ",Gastronomía y/ó alimentos,De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Otras
31 a 35 años,La Paz,Aprender lo más que pueda cada curso,3 años y medio de Ing. Comercial ,Soy emprendedora,"Creativa, me gusta innovar, me enfoco en mi objetivo ","Todo respecto a ventas, marketing finanzas ",A través de mi empresa o emprendimiento,Si,Si,Fines de semana,Noche,Hace más de un año,Mi dulce tentación S&Y,Este emprendimiento surgue con dos finalidades uno dar a conocer la capacidad de mi hermano con discapacidad intelectual y otro es general ingreso nosotros realizamos panes caseros en sus diferentes variedades nuestra pan estrella es integral y quinua además elaboramos diferentes masas con un sabor como hecho en casa ya que no usamos conservantes ni bromatos ,Gastronomía y/ó alimentos,De 1 a 5 años,1 a 2 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Aprender más sobre estrategias de marketing y el uso de nuevas tecnologías.,Finanzas_financiamiento,Emprendimiento e Innovación
36 a 40 años,Santa Cruz,Crecer como profesional y ampliar mis conocimientos,Licenciatura,Soy emprendedora,"Integridad, Empatía, organización ",Liderazgo,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Mañana,Hace más de 5 años,1.-Encantos Crochet 2.-Productos Nutrilife,"1.-Encantos crochet- Ofrece un variedad de muñecos artesanales hechos a crochet, el cual vendo a través de las redes sociales. 2.- Productos Nutrilife- Distribuimos productos Saludables y trabajamos directamente con gimnasios ",Artesanía y manualidades,De 1 a 5 años,Sólo yo,MAMAYA TECH,Instagram,Crecer personalmente y actualizar sus conocimientos.,Desarrollo personal y habilidades blandas,Otras
31 a 35 años,Tarija,Poder capacitarme y aprender nuevas herramientas que ayuden a crecer en mi emprendimiento.,Técnico medio o superior,Soy emprendedora,"Proactiva, creativa, perseverante",Finanzas.,A través de mi empresa o emprendimiento,Si,Si,De lunes a viernes,Tarde,Hace más de un año,Andaluza,Elaboración de todo tipo de accesorios y prendas de vestir utilizando la técnica del bordado artesanal y Aguayo.,"Textil, moda, diseño y/ó venta de ropa",De 1 a 5 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,Facebook,Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
36 a 40 años,La Paz,Emprender,Licenciatura,En búsqueda de empleo,"Conocimiento ofimática, me gusta compartir conocimiento, buen trato personal","Identificar negocios, ser un a emprendedora, líder de mujeres",Aún no percibo ingresos,,,,,,,,,,,,,Otro,Finanzas_financiamiento,Trabajo en Equipo y Colaboración
36 a 40 años,El Alto,Poder mejorar para hacer crecer mi emprendimiento ,Técnico medio o superior,Trabajo y emprendo como actividad paralela,"Facilidad para vender, especialidad en tejidos, versátil ","Marketing, costos ",De ambos (trabajo y emprendimiento),Si,Si,Fines de semana,Mañana,Hace más de 5 años,Tejidos Pedacito de Cielo ,"Realizo tejidos a máquina manual de prendas para bebés, niños, damas, son tejidos de calidad y atemporales, siempre conservando la calidad tanto en mano de obra como en materia prima ","Textil, moda, diseño y/ó venta de ropa",6 a 10 años,3 y 5 personas (incluida mi persona),Redes sociales Banco Sol,"Facebook, tik tok, Instagram ",Crecer personalmente y actualizar sus conocimientos.,Finanzas_financiamiento,Resiliencia y Determinación
